BEGIN_DATE,PORTFOLIO_NAME,MW
1/1/2019 10:00:00 AM,DEC,9390
1/1/2019 10:00:00 AM,PEC,5067
1/1/2019 10:00:00 PM,DEC,10180
1/1/2019 10:00:00 PM,PEC,6089
1/1/2019 11:00:00 AM,DEC,9319
1/1/2019 11:00:00 AM,PEC,5163
1/1/2019 11:00:00 PM,DEC,10218
1/1/2019 11:00:00 PM,PEC,6490
1/1/2019 12:00:00 AM,PEC,6363
1/1/2019 12:00:00 AM,DEC,10610
1/1/2019 12:00:00 PM,DEC,9331
1/1/2019 12:00:00 PM,PEC,5274
1/1/2019 1:00:00 AM,DEC,10573
1/1/2019 1:00:00 AM,PEC,6195
1/1/2019 1:00:00 PM,DEC,9333
1/1/2019 1:00:00 PM,PEC,5401
1/1/2019 2:00:00 AM,PEC,6024
1/1/2019 2:00:00 AM,DEC,10269
1/1/2019 2:00:00 PM,DEC,9394
1/1/2019 2:00:00 PM,PEC,5645
1/1/2019 3:00:00 AM,DEC,9752
1/1/2019 3:00:00 AM,PEC,5642
1/1/2019 3:00:00 PM,DEC,9406
1/1/2019 3:00:00 PM,PEC,5989
1/1/2019 4:00:00 AM,DEC,9633
1/1/2019 4:00:00 AM,PEC,5161
1/1/2019 4:00:00 PM,DEC,9448
1/1/2019 4:00:00 PM,PEC,6174
1/1/2019 5:00:00 AM,DEC,9320
1/1/2019 5:00:00 AM,PEC,4947
1/1/2019 5:00:00 PM,DEC,9470
1/1/2019 5:00:00 PM,PEC,6228
1/1/2019 6:00:00 AM,PEC,4931
1/1/2019 6:00:00 AM,DEC,9191
1/1/2019 6:00:00 PM,DEC,9521
1/1/2019 6:00:00 PM,PEC,6029
1/1/2019 7:00:00 AM,DEC,9237
1/1/2019 7:00:00 AM,PEC,4981
1/1/2019 7:00:00 PM,DEC,9758
1/1/2019 7:00:00 PM,PEC,5717
1/1/2019 8:00:00 AM,DEC,9373
1/1/2019 8:00:00 AM,PEC,4991
1/1/2019 8:00:00 PM,DEC,10030
1/1/2019 8:00:00 PM,PEC,5495
1/1/2019 9:00:00 AM,DEC,9353
1/1/2019 9:00:00 AM,PEC,4950
1/1/2019 9:00:00 PM,DEC,10054
1/1/2019 9:00:00 PM,PEC,5614
1/10/2019 10:00:00 AM,PEC,9631
1/10/2019 10:00:00 AM,DEC,12304
1/10/2019 10:00:00 PM,DEC,12528
1/10/2019 10:00:00 PM,PEC,9196
1/10/2019 11:00:00 AM,DEC,12821
1/10/2019 11:00:00 AM,PEC,10708
1/10/2019 11:00:00 PM,DEC,12966
1/10/2019 11:00:00 PM,PEC,9360
1/10/2019 12:00:00 AM,PEC,9391
1/10/2019 12:00:00 AM,DEC,11165
1/10/2019 12:00:00 PM,DEC,13253
1/10/2019 12:00:00 PM,PEC,10925
1/10/2019 1:00:00 AM,DEC,11103
1/10/2019 1:00:00 AM,PEC,9568
1/10/2019 1:00:00 PM,DEC,13381
1/10/2019 1:00:00 PM,PEC,11038
1/10/2019 2:00:00 AM,DEC,11161
1/10/2019 2:00:00 AM,PEC,9580
1/10/2019 2:00:00 PM,PEC,10996
1/10/2019 2:00:00 PM,DEC,13017
1/10/2019 3:00:00 AM,DEC,11188
1/10/2019 3:00:00 AM,PEC,9397
1/10/2019 3:00:00 PM,DEC,12219
1/10/2019 3:00:00 PM,PEC,10588
1/10/2019 4:00:00 AM,DEC,10986
1/10/2019 4:00:00 AM,PEC,9015
1/10/2019 4:00:00 PM,DEC,11830
1/10/2019 4:00:00 PM,PEC,10347
1/10/2019 5:00:00 AM,DEC,11106
1/10/2019 5:00:00 AM,PEC,8367
1/10/2019 5:00:00 PM,DEC,11693
1/10/2019 5:00:00 PM,PEC,9849
1/10/2019 6:00:00 AM,DEC,11240
1/10/2019 6:00:00 AM,PEC,8207
1/10/2019 6:00:00 PM,PEC,9547
1/10/2019 6:00:00 PM,DEC,11841
1/10/2019 7:00:00 AM,DEC,11273
1/10/2019 7:00:00 AM,PEC,8415
1/10/2019 7:00:00 PM,DEC,11998
1/10/2019 7:00:00 PM,PEC,9204
1/10/2019 8:00:00 AM,DEC,11468
1/10/2019 8:00:00 AM,PEC,8468
1/10/2019 8:00:00 PM,PEC,8893
1/10/2019 8:00:00 PM,DEC,12251
1/10/2019 9:00:00 AM,DEC,11808
1/10/2019 9:00:00 AM,PEC,8864
1/10/2019 9:00:00 PM,DEC,12541
1/10/2019 9:00:00 PM,PEC,8711
1/11/2019 10:00:00 AM,DEC,12814
1/11/2019 10:00:00 AM,PEC,9855
1/11/2019 10:00:00 PM,PEC,8647
1/11/2019 10:00:00 PM,DEC,11613
1/11/2019 11:00:00 AM,PEC,10862
1/11/2019 11:00:00 AM,DEC,13555
1/11/2019 11:00:00 PM,DEC,11818
1/11/2019 11:00:00 PM,PEC,8891
1/11/2019 12:00:00 AM,DEC,13244
1/11/2019 12:00:00 AM,PEC,9446
1/11/2019 12:00:00 PM,DEC,14139
1/11/2019 12:00:00 PM,PEC,11216
1/11/2019 1:00:00 AM,DEC,13263
1/11/2019 1:00:00 AM,PEC,9397
1/11/2019 1:00:00 PM,DEC,13934
1/11/2019 1:00:00 PM,PEC,11174
1/11/2019 2:00:00 AM,DEC,13058
1/11/2019 2:00:00 AM,PEC,9437
1/11/2019 2:00:00 PM,DEC,13041
1/11/2019 2:00:00 PM,PEC,10358
1/11/2019 3:00:00 AM,PEC,9517
1/11/2019 3:00:00 AM,DEC,12967
1/11/2019 3:00:00 PM,DEC,12837
1/11/2019 3:00:00 PM,PEC,10089
1/11/2019 4:00:00 AM,DEC,12813
1/11/2019 4:00:00 AM,PEC,9138
1/11/2019 4:00:00 PM,DEC,12181
1/11/2019 4:00:00 PM,PEC,9750
1/11/2019 5:00:00 AM,DEC,12581
1/11/2019 5:00:00 AM,PEC,8963
1/11/2019 5:00:00 PM,DEC,11679
1/11/2019 5:00:00 PM,PEC,9684
1/11/2019 6:00:00 AM,DEC,12640
1/11/2019 6:00:00 AM,PEC,8946
1/11/2019 6:00:00 PM,DEC,11567
1/11/2019 6:00:00 PM,PEC,9770
1/11/2019 7:00:00 AM,PEC,8902
1/11/2019 7:00:00 AM,DEC,12591
1/11/2019 7:00:00 PM,PEC,9238
1/11/2019 7:00:00 PM,DEC,11504
1/11/2019 8:00:00 AM,DEC,12619
1/11/2019 8:00:00 AM,PEC,9049
1/11/2019 8:00:00 PM,DEC,11552
1/11/2019 8:00:00 PM,PEC,8906
1/11/2019 9:00:00 AM,DEC,12641
1/11/2019 9:00:00 AM,PEC,9309
1/11/2019 9:00:00 PM,DEC,11698
1/11/2019 9:00:00 PM,PEC,8739
1/12/2019 10:00:00 AM,DEC,12104
1/12/2019 10:00:00 AM,PEC,7649
1/12/2019 10:00:00 PM,DEC,12340
1/12/2019 10:00:00 PM,PEC,8666
1/12/2019 11:00:00 AM,DEC,12298
1/12/2019 11:00:00 AM,PEC,7751
1/12/2019 11:00:00 PM,PEC,8631
1/12/2019 11:00:00 PM,DEC,12247
1/12/2019 12:00:00 AM,DEC,12087
1/12/2019 12:00:00 AM,PEC,9043
1/12/2019 12:00:00 PM,DEC,12268
1/12/2019 12:00:00 PM,PEC,8229
1/12/2019 1:00:00 AM,DEC,12086
1/12/2019 1:00:00 AM,PEC,9138
