UNIT_NAME,PORTFOLIO_NAME,MW
ALLE_UN01,DEC,131388
ALLE_UN02,DEC,103163
ALLE_UN03,DEC,153105
ALLE_UN04,DEC,197779
ALLE_UN05,DEC,362610
ASHV_CC01,PEC,135587
ASHV_CC02,PEC,38345
ASHV_CT03,PEC,173493
ASHV_CT04,PEC,157965
ASHV_UN01,PEC,700925
ASHV_UN02,PEC,437180
BELE_UN01,DEC,3064670
BELE_UN02,DEC,4136105
BLEW_CT01,PEC,260
BLEW_HYDR,PEC,124
BRUN_UN01,PEC,7750558
BRUN_UN02,PEC,6978974
BRVR_CT01,PEC,43795
BRVR_CT02,PEC,92337
BRVR_CT03,PEC,95091
BRVR_CT04,PEC,100201
BRVR_CT05,PEC,84609
BUCK_CC01,DEC,4392174
CATA_UN01,DEC,10252920
CATA_UN02,DEC,9357991
CHER_CG01,DEC,578998
CLEM_CT01,DEC,0
CLIF_UN05,DEC,1797950
CLIF_UN06,DEC,4635274
CUMB_HYDR,PEC,15486
DANR_CC01,DEC,4394350
DCEP_CT01,PEC,270
DCEP_CT02,PEC,157
DCEP_CT03,PEC,403
DCEP_CT04,PEC,241
DCEP_CT06,PEC,187
DCEP_CT07,PEC,791
DCEP_CT08,PEC,216
DCEP_CT10,PEC,207
DCEP_CT12,PEC,13528
DCEP_CT13,PEC,10246
DUKE_DCSF,DEC,124382
DUKE_PESF,PEC,253290
FAYE_CC01,PEC,15021
HARR_UN01,PEC,7622141
KEOW_HYDR,DEC,85029
KERR_HYDR,PEC,232199
LCCP_CC01,PEC,6649740
LEEC_CT07,DEC,4815
LEEC_CT08,DEC,4683
LEES_CC01,DEC,5279908
LEES_UN03,DEC,0
LINC_CT01,DEC,2460
LINC_CT02,DEC,2193
LINC_CT03,DEC,2475
LINC_CT04,DEC,2970
LINC_CT05,DEC,1903
LINC_CT06,DEC,2411
LINC_CT07,DEC,2071
LINC_CT08,DEC,2321
LINC_CT09,DEC,1708
LINC_CT10,DEC,1896
LINC_CT11,DEC,1870
LINC_CT12,DEC,1509
LINC_CT13,DEC,1855
LINC_CT14,DEC,2211
LINC_CT15,DEC,2183
LINC_CT16,DEC,1946
MARD_UN01,DEC,895124
MARD_UN02,DEC,1150128
MARD_UN03,DEC,2444357
MARD_UN04,DEC,3365602
MARS_HYDR,PEC,17
MAYO_UN01,PEC,1567208
MCGU_UN01,DEC,9280983
MCGU_UN02,DEC,10316405
MILL_CT01,DEC,11968
MILL_CT02,DEC,11286
MILL_CT03,DEC,9524
MILL_CT04,DEC,9097
MILL_CT05,DEC,10000
MILL_CT06,DEC,9263
MILL_CT07,DEC,9461
MILL_CT08,DEC,9354
MISC_CG01,PEC,752840
MSCH_HYDR,DEC,2343655
N3PC_DCSF,DEC,302345
N3PC_PESF,PEC,1516552
NCAP_CT01,PEC,19642
NCAP_CT02,PEC,16539
NCAP_CT03,PEC,16005
NCAP_CT04,PEC,16270
NCAP_CT05,PEC,17099
NCAP_CT06,PEC,18201
NCHP_CT01,PEC,30923
NCHP_CT02,PEC,0
NCHP_CT03,PEC,0
NCHP_CT04,PEC,31107
NCHP_CT05,PEC,25441
OCON_UN01,DEC,7498635
OCON_UN02,DEC,6804006
OCON_UN03,DEC,7574109
PRPA_DCSF,DEC,431896
PRPA_PESF,PEC,2647216
RCKN_CT01,DEC,185305
RCKN_CT02,DEC,186879
RCKN_CT03,DEC,206298
RCKN_CT04,DEC,174258
RCKN_CT05,DEC,210752
RCOG_CG01,PEC,324274
RCOP_CC04,PEC,3769389
RCOP_CC05,PEC,3997198
RCOP_CT01,PEC,354784
RCOP_CT02,PEC,352689
RCOP_CT03,PEC,269202
RCOP_CT04,PEC,379888
RCOP_CT06,PEC,304193
ROBN_UN02,PEC,6387456
ROXB_UN01,PEC,619481
ROXB_UN02,PEC,1375998
ROXB_UN03,PEC,2381647
ROXB_UN04,PEC,2644918
SCCP_CC01,PEC,4426008
SOCO_CC01,PEC,1130665
SPRT_CG01,PEC,459410
SUTT_CT02,PEC,0
SUTT_CT04,PEC,95895
SUTT_CT05,PEC,99201
TILL_HYDR,PEC,233583
WALT_HYDR,PEC,441619
WCOP_CT10,PEC,13247
WCOP_CT11,PEC,8285
WCOP_CT12,PEC,18895
WCOP_CT13,PEC,35320
WCOP_CT14,PEC,71741
WSPN_CT01,PEC,806
