Hour,GeneratorID,VariableCost,MinPowerOut,MaxPowerOut,Output,On/off,ShutDown,Startup
1,1,22.82975156,155.7,311.4,0,0,0,0
1,2,23.17864287,155.7,311.4,0,0,0,0
1,3,23.89079164,155.7,311.4,0,0,0,0
1,4,24.8779113,155.7,311.4,0,0,0,0
1,5,32.74531358,137.5,275,0,0,0,0
1,6,34.57327796,137.5,275,0,0,0,0
1,7,34.85354679,137.5,275,0,0,0,0
1,8,34.97119919,137.5,275,0,0,0,0
1,9,34.76984963,231.25,462.5,462.5,1,0,1
1,10,33.98565618,231.25,462.5,462.5,1,0,1
1,11,35.99330099,231.25,462.5,0,0,0,0
1,12,35.79069939,231.25,462.5,462.5,1,0,1
1,13,35.55576724,231.75,463.5,0,0,0,0
1,14,35.65464779,231.75,463.5,0,0,0,0
1,15,22.52819424,163.75,327.5,327.5,1,0,1
1,16,24.96676173,163.75,327.5,327.5,1,0,1
1,17,23.84561198,227.375,454.75,454.75,1,0,1
1,18,23.19306061,227.375,454.75,454.75,1,0,1
1,19,25.89326837,300,600,512.6327498,1,0,1
1,20,24.99230456,300,600,600,1,0,1
1,21,25.23543155,177.75,355.5,355.5,1,0,1
1,22,24.59924011,177.75,355.5,355.5,1,0,1
1,23,29.68185471,190.8,381.6,381.6,1,0,1
1,24,30.43660808,190.8,381.6,0,0,0,0
2,1,22.82975156,155.7,311.4,0,0,0,0
2,2,23.17864287,155.7,311.4,0,0,0,0
2,3,23.89079164,155.7,311.4,0,0,0,0
2,4,24.8779113,155.7,311.4,0,0,0,0
2,5,32.74531358,137.5,275,0,0,0,0
2,6,34.57327796,137.5,275,0,0,0,0
2,7,34.85354679,137.5,275,0,0,0,0
2,8,34.97119919,137.5,275,0,0,0,0
2,9,34.76984963,231.25,462.5,415.8354975,1,0,0
2,10,33.98565618,231.25,462.5,462.5,1,0,0
2,11,35.99330099,231.25,462.5,0,0,0,0
2,12,35.79069939,231.25,462.5,231.25,1,0,0
2,13,35.55576724,231.75,463.5,0,0,0,0
2,14,35.65464779,231.75,463.5,0,0,0,0
2,15,22.52819424,163.75,327.5,327.5,1,0,0
2,16,24.96676173,163.75,327.5,327.5,1,0,0
2,17,23.84561198,227.375,454.75,454.75,1,0,0
2,18,23.19306061,227.375,454.75,454.75,1,0,0
2,19,25.89326837,300,600,590.2710243,1,0,0
2,20,24.99230456,300,600,600,1,0,0
2,21,25.23543155,177.75,355.5,355.5,1,0,0
2,22,24.59924011,177.75,355.5,355.5,1,0,0
2,23,29.68185471,190.8,381.6,381.6,1,0,0
2,24,30.43660808,190.8,381.6,0,0,0,0
3,1,22.82975156,155.7,311.4,0,0,0,0
3,2,23.17864287,155.7,311.4,0,0,0,0
3,3,23.89079164,155.7,311.4,0,0,0,0
3,4,24.8779113,155.7,311.4,0,0,0,0
3,5,32.74531358,137.5,275,0,0,0,0
3,6,34.57327796,137.5,275,0,0,0,0
3,7,34.85354679,137.5,275,0,0,0,0
3,8,34.97119919,137.5,275,0,0,0,0
3,9,34.76984963,231.25,462.5,231.25,1,0,0
3,10,33.98565618,231.25,462.5,439.6777816,1,0,0
3,11,35.99330099,231.25,462.5,0,0,0,0
3,12,35.79069939,231.25,462.5,231.25,1,0,0
3,13,35.55576724,231.75,463.5,0,0,0,0
3,14,35.65464779,231.75,463.5,0,0,0,0
3,15,22.52819424,163.75,327.5,327.5,1,0,0
3,16,24.96676173,163.75,327.5,327.5,1,0,0
3,17,23.84561198,227.375,454.75,454.75,1,0,0
3,18,23.19306061,227.375,454.75,454.75,1,0,0
3,19,25.89326837,300,600,600,1,0,0
3,20,24.99230456,300,600,600,1,0,0
3,21,25.23543155,177.75,355.5,355.5,1,0,0
3,22,24.59924011,177.75,355.5,355.5,1,0,0
3,23,29.68185471,190.8,381.6,381.6,1,0,0
3,24,30.43660808,190.8,381.6,0,0,0,0
4,1,22.82975156,155.7,311.4,0,0,0,0
4,2,23.17864287,155.7,311.4,0,0,0,0
4,3,23.89079164,155.7,311.4,0,0,0,0
4,4,24.8779113,155.7,311.4,0,0,0,0
4,5,32.74531358,137.5,275,0,0,0,0
4,6,34.57327796,137.5,275,0,0,0,0
4,7,34.85354679,137.5,275,0,0,0,0
4,8,34.97119919,137.5,275,0,0,0,0
4,9,34.76984963,231.25,462.5,462.5,1,0,0
4,10,33.98565618,231.25,462.5,462.5,1,0,0
4,11,35.99330099,231.25,462.5,0,0,0,0
4,12,35.79069939,231.25,462.5,259.4728117,1,0,0
4,13,35.55576724,231.75,463.5,0,0,0,0
4,14,35.65464779,231.75,463.5,0,0,0,0
4,15,22.52819424,163.75,327.5,327.5,1,0,0
4,16,24.96676173,163.75,327.5,327.5,1,0,0
4,17,23.84561198,227.375,454.75,454.75,1,0,0
4,18,23.19306061,227.375,454.75,454.75,1,0,0
4,19,25.89326837,300,600,564.620716,1,0,0
4,20,24.99230456,300,600,600,1,0,0
4,21,25.23543155,177.75,355.5,355.5,1,0,0
4,22,24.59924011,177.75,355.5,355.5,1,0,0
4,23,29.68185471,190.8,381.6,381.6,1,0,0
4,24,30.43660808,190.8,381.6,0,0,0,0
5,1,22.82975156,155.7,311.4,0,0,0,0
5,2,23.17864287,155.7,311.4,0,0,0,0
5,3,23.89079164,155.7,311.4,0,0,0,0
5,4,24.8779113,155.7,311.4,0,0,0,0
5,5,32.74531358,137.5,275,0,0,0,0
5,6,34.57327796,137.5,275,0,0,0,0
5,7,34.85354679,137.5,275,0,0,0,0
5,8,34.97119919,137.5,275,0,0,0,0
5,9,34.76984963,231.25,462.5,231.25,1,0,0
5,10,33.98565618,231.25,462.5,336.5954664,1,0,0
5,11,35.99330099,231.25,462.5,0,0,0,0
5,12,35.79069939,231.25,462.5,231.25,1,0,0
5,13,35.55576724,231.75,463.5,0,0,0,0
5,14,35.65464779,231.75,463.5,0,0,0,0
5,15,22.52819424,163.75,327.5,327.5,1,0,0
5,16,24.96676173,163.75,327.5,327.5,1,0,0
5,17,23.84561198,227.375,454.75,454.75,1,0,0
5,18,23.19306061,227.375,454.75,454.75,1,0,0
5,19,25.89326837,300,600,600,1,0,0
5,20,24.99230456,300,600,600,1,0,0
5,21,25.23543155,177.75,355.5,355.5,1,0,0
5,22,24.59924011,177.75,355.5,355.5,1,0,0
5,23,29.68185471,190.8,381.6,381.6,1,0,0
5,24,30.43660808,190.8,381.6,0,0,0,0
6,1,22.82975156,155.7,311.4,0,0,0,0
6,2,23.17864287,155.7,311.4,0,0,0,0
6,3,23.89079164,155.7,311.4,0,0,0,0
6,4,24.8779113,155.7,311.4,0,0,0,0
6,5,32.74531358,137.5,275,0,0,0,0
6,6,34.57327796,137.5,275,0,0,0,0
6,7,34.85354679,137.5,275,0,0,0,0
6,8,34.97119919,137.5,275,0,0,0,0
6,9,34.76984963,231.25,462.5,231.25,1,0,0
6,10,33.98565618,231.25,462.5,231.25,1,0,0
6,11,35.99330099,231.25,462.5,0,0,0,0
6,12,35.79069939,231.25,462.5,231.25,1,0,0
6,13,35.55576724,231.75,463.5,0,0,0,0
6,14,35.65464779,231.75,463.5,0,0,0,0
6,15,22.52819424,163.75,327.5,327.5,1,0,0
6,16,24.96676173,163.75,327.5,327.5,1,0,0
6,17,23.84561198,227.375,454.75,454.75,1,0,0
6,18,23.19306061,227.375,454.75,454.75,1,0,0
6,19,25.89326837,300,600,600,1,0,0
6,20,24.99230456,300,600,600,1,0,0
6,21,25.23543155,177.75,355.5,355.5,1,0,0
6,22,24.59924011,177.75,355.5,355.5,1,0,0
6,23,29.68185471,190.8,381.6,381.6,1,0,0
6,24,30.43660808,190.8,381.6,0,0,0,0
7,1,22.82975156,155.7,311.4,0,0,0,0
7,2,23.17864287,155.7,311.4,0,0,0,0
7,3,23.89079164,155.7,311.4,0,0,0,0
7,4,24.8779113,155.7,311.4,0,0,0,0
7,5,32.74531358,137.5,275,0,0,0,0
7,6,34.57327796,137.5,275,0,0,0,0
7,7,34.85354679,137.5,275,0,0,0,0
7,8,34.97119919,137.5,275,0,0,0,0
7,9,34.76984963,231.25,462.5,231.25,1,0,0
7,10,33.98565618,231.25,462.5,453.9449724,1,0,0
7,11,35.99330099,231.25,462.5,0,0,0,0
7,12,35.79069939,231.25,462.5,231.25,1,0,0
7,13,35.55576724,231.75,463.5,0,0,0,0
7,14,35.65464779,231.75,463.5,0,0,0,0
7,15,22.52819424,163.75,327.5,327.5,1,0,0
7,16,24.96676173,163.75,327.5,327.5,1,0,0
7,17,23.84561198,227.375,454.75,454.75,1,0,0
7,18,23.19306061,227.375,454.75,454.75,1,0,0
7,19,25.89326837,300,600,600,1,0,0
7,20,24.99230456,300,600,600,1,0,0
7,21,25.23543155,177.75,355.5,355.5,1,0,0
7,22,24.59924011,177.75,355.5,355.5,1,0,0
7,23,29.68185471,190.8,381.6,381.6,1,0,0
7,24,30.43660808,190.8,381.6,0,0,0,0
8,1,22.82975156,155.7,311.4,0,0,0,0
8,2,23.17864287,155.7,311.4,0,0,0,0
8,3,23.89079164,155.7,311.4,0,0,0,0
8,4,24.8779113,155.7,311.4,0,0,0,0
8,5,32.74531358,137.5,275,0,0,0,0
8,6,34.57327796,137.5,275,0,0,0,0
8,7,34.85354679,137.5,275,0,0,0,0
8,8,34.97119919,137.5,275,0,0,0,0
8,9,34.76984963,231.25,462.5,462.5,1,0,0
8,10,33.98565618,231.25,462.5,462.5,1,0,0
8,11,35.99330099,231.25,462.5,0,0,0,0
8,12,35.79069939,231.25,462.5,320.5761293,1,0,0
8,13,35.55576724,231.75,463.5,463.5,1,0,1
8,14,35.65464779,231.75,463.5,0,0,0,0
8,15,22.52819424,163.75,327.5,327.5,1,0,0
8,16,24.96676173,163.75,327.5,327.5,1,0,0
8,17,23.84561198,227.375,454.75,454.75,1,0,0
8,18,23.19306061,227.375,454.75,454.75,1,0,0
8,19,25.89326837,300,600,600,1,0,0
8,20,24.99230456,300,600,600,1,0,0
8,21,25.23543155,177.75,355.5,355.5,1,0,0
8,22,24.59924011,177.75,355.5,355.5,1,0,0
8,23,29.68185471,190.8,381.6,381.6,1,0,0
8,24,30.43660808,190.8,381.6,0,0,0,0
9,1,22.82975156,155.7,311.4,0,0,0,0
9,2,23.17864287,155.7,311.4,0,0,0,0
9,3,23.89079164,155.7,311.4,0,0,0,0
9,4,24.8779113,155.7,311.4,0,0,0,0
9,5,32.74531358,137.5,275,0,0,0,0
9,6,34.57327796,137.5,275,0,0,0,0
9,7,34.85354679,137.5,275,0,0,0,0
9,8,34.97119919,137.5,275,0,0,0,0
9,9,34.76984963,231.25,462.5,462.5,1,0,0
9,10,33.98565618,231.25,462.5,462.5,1,0,0
9,11,35.99330099,231.25,462.5,0,0,0,0
9,12,35.79069939,231.25,462.5,231.25,1,0,0
9,13,35.55576724,231.75,463.5,420.7262954,1,0,0
9,14,35.65464779,231.75,463.5,0,0,0,0
9,15,22.52819424,163.75,327.5,327.5,1,0,0
9,16,24.96676173,163.75,327.5,327.5,1,0,0
9,17,23.84561198,227.375,454.75,454.75,1,0,0
9,18,23.19306061,227.375,454.75,454.75,1,0,0
9,19,25.89326837,300,600,600,1,0,0
9,20,24.99230456,300,600,600,1,0,0
9,21,25.23543155,177.75,355.5,355.5,1,0,0
9,22,24.59924011,177.75,355.5,355.5,1,0,0
9,23,29.68185471,190.8,381.6,381.6,1,0,0
9,24,30.43660808,190.8,381.6,0,0,0,0
10,1,22.82975156,155.7,311.4,0,0,0,0
10,2,23.17864287,155.7,311.4,0,0,0,0
10,3,23.89079164,155.7,311.4,0,0,0,0
10,4,24.8779113,155.7,311.4,0,0,0,0
10,5,32.74531358,137.5,275,0,0,0,0
10,6,34.57327796,137.5,275,0,0,0,0
10,7,34.85354679,137.5,275,0,0,0,0
10,8,34.97119919,137.5,275,0,0,0,0
10,9,34.76984963,231.25,462.5,462.5,1,0,0
10,10,33.98565618,231.25,462.5,462.5,1,0,0
10,11,35.99330099,231.25,462.5,0,0,0,0
10,12,35.79069939,231.25,462.5,231.25,1,0,0
10,13,35.55576724,231.75,463.5,404.7861676,1,0,0
10,14,35.65464779,231.75,463.5,0,0,0,0
10,15,22.52819424,163.75,327.5,327.5,1,0,0
10,16,24.96676173,163.75,327.5,327.5,1,0,0
10,17,23.84561198,227.375,454.75,454.75,1,0,0
10,18,23.19306061,227.375,454.75,454.75,1,0,0
10,19,25.89326837,300,600,600,1,0,0
