Day,Hour,StorageUniID,Name,Power,EnergyLimit,Charge_St,Discharge_St,Idle_St,storgChrgPwr,storgDiscPwr,storgSOC,storgResUp,storgResDn
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,7,1,BADC_PS01,250,3012.048193,1,0,0,0,0,602.4096386,,
1,7,2,BADC_PS02,250,3012.048193,1,0,0,0,0,602.4096386,,
1,7,3,BADC_PS03,250,3012.048193,1,0,0,0,0,602.4096386,,
1,7,4,BADC_PS04,250,3012.048193,0,1,0,0,250,313.7260358,,
1,7,5,JOCA_PS01,155,1867.46988,0,1,0,0,155,194.5101422,,
1,7,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,373.4939759,,
1,7,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,373.4939759,,
1,7,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,373.4939759,,
1,8,1,BADC_PS01,250,3012.048193,1,0,0,0,0,602.4096386,,
1,8,2,BADC_PS02,250,3012.048193,1,0,0,0,0,602.4096386,,
1,8,3,BADC_PS03,250,3012.048193,1,0,0,0,0,602.4096386,,
1,8,4,BADC_PS04,250,3012.048193,1,0,0,0,0,313.7260358,,
1,8,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,194.5101422,,
1,8,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,373.4939759,,
1,8,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,373.4939759,,
1,8,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,373.4939759,,
1,9,1,BADC_PS01,250,3012.048193,1,0,0,0,0,602.4096386,,
1,9,2,BADC_PS02,250,3012.048193,0,1,0,0,250,313.7260358,,
1,9,3,BADC_PS03,250,3012.048193,0,1,0,0,250,313.7260358,,
1,9,4,BADC_PS04,250,3012.048193,1,0,0,0,0,313.7260358,,
1,9,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,194.5101422,,
