Day,Time period,Source,Sink,Flow,TransCap
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1,7,2,1,-533,5000
1,7,2,2,0,0
,,,,,
,,,,,
1,8,2,1,-11,5000
1,8,2,2,0,0
,,,,,
,,,,,
1,9,2,1,-408,5000
1,9,2,2,0,0
,,,,,
,,,,,
1,10,2,1,-573,5000
1,10,2,2,0,0
,,,,,
,,,,,
1,11,2,1,721.1,5000
1,11,2,2,0,0
,,,,,
,,,,,
1,12,2,1,923,5000
1,12,2,2,0,0
,,,,,
,,,,,
1,13,2,1,818.1,5000
1,13,2,2,0,0
,,,,,
,,,,,
1,14,2,1,909.1,5000
1,14,2,2,0,0
,,,,,
,,,,,
1,15,2,1,822.8313253,5000
1,15,2,2,0,0
,,,,,
,,,,,
1,16,2,1,937.9,5000
1,16,2,2,0,0
,,,,,
,,,,,
1,17,2,1,1066.9,5000
1,17,2,2,0,0
,,,,,
,,,,,
1,18,2,1,1069.86747,5000
1,18,2,2,0,0
,,,,,
,,,,,
1,19,2,1,1488.313253,5000
1,19,2,2,0,0
,,,,,
,,,,,
1,20,2,1,1445,5000
1,20,2,2,0,0
,,,,,
,,,,,
1,21,2,1,1310,5000
1,21,2,2,0,0
,,,,,
,,,,,
1,22,2,1,1046.9,5000
1,22,2,2,0,0
,,,,,
,,,,,
1,23,2,1,606,5000
1,23,2,2,0,0
,,,,,
,,,,,
1,24,2,1,392.5,5000
1,24,2,2,0,0
,,,,,
,,,,,
1,25,2,1,305,5000
1,25,2,2,0,0
,,,,,
,,,,,
1,26,2,1,268,5000
1,26,2,2,0,0
,,,,,
,,,,,
1,27,2,1,309,5000
1,27,2,2,0,0
,,,,,
,,,,,
1,28,2,1,270,5000
1,28,2,2,0,0
,,,,,
,,,,,
1,29,2,1,367,5000
1,29,2,2,0,0
,,,,,
,,,,,
1,30,2,1,305,5000
1,30,2,2,0,0
,,,,,
,,,,,
2,7,2,1,1016,5000
2,7,2,2,0,0
,,,,,
,,,,,
2,8,2,1,1502,5000
2,8,2,2,0,0
,,,,,
,,,,,
2,9,2,1,1780,5000
2,9,2,2,0,0
,,,,,
,,,,,
2,10,2,1,1684,5000
2,10,2,2,0,0
,,,,,
,,,,,
2,11,2,1,1693,5000
2,11,2,2,0,0
,,,,,
,,,,,
2,12,2,1,1767,5000
2,12,2,2,0,0
,,,,,
,,,,,
2,13,2,1,1704,5000
2,13,2,2,0,0
,,,,,
,,,,,
2,14,2,1,1679,5000
2,14,2,2,0,0
,,,,,
,,,,,
2,15,2,1,1694,5000
2,15,2,2,0,0
,,,,,
,,,,,
2,16,2,1,1749,5000
2,16,2,2,0,0
,,,,,
,,,,,
2,17,2,1,1836,5000
2,17,2,2,0,0
,,,,,
,,,,,
2,18,2,1,2353,5000
2,18,2,2,0,0
,,,,,
,,,,,
2,19,2,1,2260,5000
2,19,2,2,0,0
,,,,,
,,,,,
2,20,2,1,2131,5000
2,20,2,2,0,0
,,,,,
,,,,,
2,21,2,1,1993,5000
2,21,2,2,0,0
,,,,,
,,,,,
2,22,2,1,1808,5000
2,22,2,2,0,0
,,,,,
,,,,,
2,23,2,1,1230,5000
2,23,2,2,0,0
,,,,,
,,,,,
2,24,2,1,636,5000
2,24,2,2,0,0
,,,,,
,,,,,
2,25,2,1,560,5000
2,25,2,2,0,0
,,,,,
,,,,,
2,26,2,1,530,5000
2,26,2,2,0,0
,,,,,
,,,,,
2,27,2,1,591,5000
2,27,2,2,0,0
,,,,,
,,,,,
2,28,2,1,534,5000
2,28,2,2,0,0
,,,,,
,,,,,
2,29,2,1,504,5000
2,29,2,2,0,0
,,,,,
,,,,,
2,30,2,1,842,5000
2,30,2,2,0,0
