Day,Hour,StorageUniID,Name,Power,EnergyLimit,Charge_St,Discharge_St,Idle_St,storgChrgPwr,storgDiscPwr,storgSOC,storgResUp,storgResDn
1,7,1,BADC_PS01,250,3012.048193,1,0,0,240,0,810.2496386,0,250
1,7,2,BADC_PS02,250,3012.048193,1,0,0,0,0,602.4096386,0,250
1,7,3,BADC_PS03,250,3012.048193,1,0,0,0,0,602.4096386,0,250
1,7,4,BADC_PS04,250,3012.048193,0,1,0,0,0,602.4096386,250,0
1,7,5,JOCA_PS01,155,1867.46988,0,1,0,0,0,373.4939759,155,0
1,7,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,373.4939759,0,155
1,7,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,373.4939759,0,155
1,7,8,JOCA_PS04,155,1867.46988,1,0,0,310,0,641.9539759,0,155
1,8,1,BADC_PS01,250,3012.048193,1,0,0,0,0,810.2496386,0,250
1,8,2,BADC_PS02,250,3012.048193,1,0,0,0,0,602.4096386,0,250
1,8,3,BADC_PS03,250,3012.048193,1,0,0,0,0,602.4096386,0,250
1,8,4,BADC_PS04,250,3012.048193,1,0,0,227,0,798.9916386,0,250
1,8,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,373.4939759,0,155
1,8,6,JOCA_PS02,155,1867.46988,1,0,0,310,0,641.9539759,0,155
1,8,7,JOCA_PS03,155,1867.46988,1,0,0,310,0,641.9539759,0,155
1,8,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,641.9539759,0,155
1,9,1,BADC_PS01,250,3012.048193,1,0,0,0,0,810.2496386,0,250
1,9,2,BADC_PS02,250,3012.048193,0,1,0,0,0,602.4096386,0,0
1,9,3,BADC_PS03,250,3012.048193,0,1,0,0,0,602.4096386,0,0
1,9,4,BADC_PS04,250,3012.048193,1,0,0,167.3305883,0,943.899928,0,250
1,9,5,JOCA_PS01,155,1867.46988,1,0,0,310,0,641.9539759,0,155
1,9,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,641.9539759,0,155
1,9,7,JOCA_PS03,155,1867.46988,0,1,0,0,0,641.9539759,0,0
1,9,8,JOCA_PS04,155,1867.46988,0,1,0,0,0,641.9539759,0,0
1,10,1,BADC_PS01,250,3012.048193,0,1,0,0,0,810.2496386,0,0
1,10,2,BADC_PS02,250,3012.048193,1,0,0,25,0,624.0596386,0,250
1,10,3,BADC_PS03,250,3012.048193,0,1,0,0,0,602.4096386,0,0
1,10,4,BADC_PS04,250,3012.048193,0,1,0,0,0,943.899928,0,0
1,10,5,JOCA_PS01,155,1867.46988,0,1,0,0,0,641.9539759,0,0
1,10,6,JOCA_PS02,155,1867.46988,0,1,0,0,0,641.9539759,0,0
1,10,7,JOCA_PS03,155,1867.46988,0,1,0,0,0,641.9539759,0,0
1,10,8,JOCA_PS04,155,1867.46988,0,1,0,0,0,641.9539759,0,0
1,11,1,BADC_PS01,250,3012.048193,1,0,0,0,0,810.2496386,0,0
1,11,2,BADC_PS02,250,3012.048193,1,0,0,0,0,624.0596386,0,0
1,11,3,BADC_PS03,250,3012.048193,1,0,0,0,0,602.4096386,0,0
1,11,4,BADC_PS04,250,3012.048193,1,0,0,0,0,943.899928,0,0
1,11,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,641.9539759,0,0
1,11,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,641.9539759,0,0
1,11,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,641.9539759,0,0
1,11,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,641.9539759,0,0
