Day,Hour,StorageUniID,Name,Power,EnergyLimit,Charge_St,Discharge_St,Idle_St,storgChrgPwr,storgDiscPwr,storgSOC,storgResUp,storgResDn
1,18,1,BADC_PS01,250,3012.048193,0,1,0,0,0,313.7260358,250,0
1,18,2,BADC_PS02,250,3012.048193,0,1,0,0,0,313.7260358,250,0
1,18,3,BADC_PS03,250,3012.048193,1,0,0,453.0880491,0,417.4166835,0,250
1,18,4,BADC_PS04,250,3012.048193,0,1,0,0,0,25.04243301,0,0
1,18,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,0,0,155
1,18,6,JOCA_PS02,155,1867.46988,0,1,0,0,0,15.52630847,0,0
1,18,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,0,0,155
1,18,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,0,0,155
1,19,1,BADC_PS01,250,3012.048193,1,0,0,321,0,591.7120358,0,250
1,19,2,BADC_PS02,250,3012.048193,1,0,0,0,0,313.7260358,0,250
1,19,3,BADC_PS03,250,3012.048193,0,1,0,0,0,417.4166835,0,0
1,19,4,BADC_PS04,250,3012.048193,1,0,0,0,0,25.04243301,0,250
1,19,5,JOCA_PS01,155,1867.46988,0,1,0,0,0,0,0,0
1,19,6,JOCA_PS02,155,1867.46988,0,1,0,0,0,15.52630847,0,0
1,19,7,JOCA_PS03,155,1867.46988,0,1,0,0,0,0,0,0
1,19,8,JOCA_PS04,155,1867.46988,0,1,0,0,0,0,0,0
1,20,1,BADC_PS01,250,3012.048193,0,1,0,0,0,591.7120358,0,0
1,20,2,BADC_PS02,250,3012.048193,0,1,0,0,0,313.7260358,0,0
1,20,3,BADC_PS03,250,3012.048193,1,0,0,0,0,417.4166835,0,250
1,20,4,BADC_PS04,250,3012.048193,1,0,0,0,0,25.04243301,0,250
1,20,5,JOCA_PS01,155,1867.46988,1,0,0,0,0,0,0,155
1,20,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,15.52630847,0,155
1,20,7,JOCA_PS03,155,1867.46988,1,0,0,0,0,0,0,155
1,20,8,JOCA_PS04,155,1867.46988,1,0,0,249,0,215.634,0,155
1,21,1,BADC_PS01,250,3012.048193,0,1,0,0,0,591.7120358,0,0
1,21,2,BADC_PS02,250,3012.048193,0,1,0,0,0,313.7260358,0,0
1,21,3,BADC_PS03,250,3012.048193,0,1,0,0,0,417.4166835,0,0
1,21,4,BADC_PS04,250,3012.048193,1,0,0,0,0,25.04243301,0,250
1,21,5,JOCA_PS01,155,1867.46988,0,1,0,0,0,0,0,0
1,21,6,JOCA_PS02,155,1867.46988,0,1,0,0,0,15.52630847,0,0
1,21,7,JOCA_PS03,155,1867.46988,0,1,0,0,0,0,0,0
1,21,8,JOCA_PS04,155,1867.46988,1,0,0,298,0,473.702,0,155
1,22,1,BADC_PS01,250,3012.048193,0,1,0,0,0,591.7120358,0,0
1,22,2,BADC_PS02,250,3012.048193,1,0,0,16.42288322,0,327.9482527,0,250
1,22,3,BADC_PS03,250,3012.048193,1,0,0,0,0,417.4166835,0,250
1,22,4,BADC_PS04,250,3012.048193,0,1,0,0,0,25.04243301,0,0
1,22,5,JOCA_PS01,155,1867.46988,1,0,0,310,0,268.46,0,155
1,22,6,JOCA_PS02,155,1867.46988,1,0,0,168.5771168,0,161.5140916,0,155
1,22,7,JOCA_PS03,155,1867.46988,0,1,0,0,0,0,0,0
1,22,8,JOCA_PS04,155,1867.46988,1,0,0,310,0,742.162,0,155
1,23,1,BADC_PS01,250,3012.048193,1,0,0,0,0,591.7120358,0,0
1,23,2,BADC_PS02,250,3012.048193,1,0,0,250,0,544.4482527,0,0
1,23,3,BADC_PS03,250,3012.048193,1,0,0,169.4941206,0,564.1985919,0,250
1,23,4,BADC_PS04,250,3012.048193,1,0,0,500,0,458.042433,0,250
1,23,5,JOCA_PS01,155,1867.46988,0,1,0,0,0,268.46,0,0
1,23,6,JOCA_PS02,155,1867.46988,1,0,0,310,0,429.9740916,0,155
1,23,7,JOCA_PS03,155,1867.46988,1,0,0,89.75293972,0,77.7260458,0,155
1,23,8,JOCA_PS04,155,1867.46988,1,0,0,204.7529397,0,919.4780458,0,155
1,24,1,BADC_PS01,250,3012.048193,1,0,0,107.3564469,0,684.6827188,0,250
1,24,2,BADC_PS02,250,3012.048193,1,0,0,312.0696736,0,814.70059,0,250
1,24,3,BADC_PS03,250,3012.048193,1,0,0,330.8645426,0,850.7272858,0,250
1,24,4,BADC_PS04,250,3012.048193,1,0,0,261.7093369,0,684.6827188,0,250
1,24,5,JOCA_PS01,155,1867.46988,1,0,0,310,0,536.92,0,155
1,24,6,JOCA_PS02,155,1867.46988,1,0,0,0,0,429.9740916,0,155
1,24,7,JOCA_PS03,155,1867.46988,1,0,0,310,0,346.1860458,0,155
1,24,8,JOCA_PS04,155,1867.46988,1,0,0,310,0,1187.938046,0,155
1,25,1,BADC_PS01,250,3012.048193,1,0,0,500,0,1117.682719,0,250
1,25,2,BADC_PS02,250,3012.048193,1,0,0,204,0,991.36459,0,250
1,25,3,BADC_PS03,250,3012.048193,1,0,0,500,0,1283.727286,0,250
1,25,4,BADC_PS04,250,3012.048193,1,0,0,500,0,1117.682719,0,250
1,25,5,JOCA_PS01,155,1867.46988,1,0,0,310,0,805.38,0,155
1,25,6,JOCA_PS02,155,1867.46988,1,0,0,310,0,698.4340916,0,155
1,25,7,JOCA_PS03,155,1867.46988,1,0,0,310,0,614.6460458,0,155
1,25,8,JOCA_PS04,155,1867.46988,1,0,0,0,0,1187.938046,0,155
1,26,1,BADC_PS01,250,3012.048193,1,0,0,500,0,1550.682719,0,250
1,26,2,BADC_PS02,250,3012.048193,1,0,0,500,0,1424.36459,0,250
1,26,3,BADC_PS03,250,3012.048193,1,0,0,500,0,1716.727286,0,250
1,26,4,BADC_PS04,250,3012.048193,1,0,0,500,0,1550.682719,0,250
1,26,5,JOCA_PS01,155,1867.46988,1,0,0,310,0,1073.84,0,155
1,26,6,JOCA_PS02,155,1867.46988,1,0,0,310,0,966.8940916,0,155
1,26,7,JOCA_PS03,155,1867.46988,1,0,0,310,0,883.1060458,0,155
1,26,8,JOCA_PS04,155,1867.46988,1,0,0,75,0,1252.888046,0,0
1,27,1,BADC_PS01,250,3012.048193,1,0,0,500,0,1983.682719,0,250
1,27,2,BADC_PS02,250,3012.048193,1,0,0,500,0,1857.36459,0,250
1,27,3,BADC_PS03,250,3012.048193,1,0,0,500,0,2149.727286,0,250
1,27,4,BADC_PS04,250,3012.048193,1,0,0,500,0,1983.682719,0,250
1,27,5,JOCA_PS01,155,1867.46988,1,0,0,89.75293972,0,1151.566046,0,155
1,27,6,JOCA_PS02,155,1867.46988,1,0,0,213.2470603,0,1151.566046,0,155
1,27,7,JOCA_PS03,155,1867.46988,1,0,0,310,0,1151.566046,0,155
1,27,8,JOCA_PS04,155,1867.46988,1,0,0,310,0,1521.348046,0,155
1,28,1,BADC_PS01,250,3012.048193,1,0,0,500,0,2416.682719,0,250
1,28,2,BADC_PS02,250,3012.048193,1,0,0,500,0,2290.36459,0,250
1,28,3,BADC_PS03,250,3012.048193,1,0,0,500,0,2582.727286,0,250
1,28,4,BADC_PS04,250,3012.048193,1,0,0,500,0,2416.682719,0,250
1,28,5,JOCA_PS01,155,1867.46988,1,0,0,310,0,1420.026046,0,155
1,28,6,JOCA_PS02,155,1867.46988,1,0,0,310,0,1420.026046,0,155
1,28,7,JOCA_PS03,155,1867.46988,1,0,0,310,0,1420.026046,0,155
1,28,8,JOCA_PS04,155,1867.46988,1,0,0,193,0,1688.486046,0,155
1,29,1,BADC_PS01,250,3012.048193,1,0,0,437.489,0,2795.548193,0,187.489
1,29,2,BADC_PS02,250,3012.048193,1,0,0,500,0,2723.36459,0,250
1,29,3,BADC_PS03,250,3012.048193,1,0,0,172.3432082,0,2731.976504,0,242.5420824
1,29,4,BADC_PS04,250,3012.048193,1,0,0,437.489,0,2795.548193,0,187.489
1,29,5,JOCA_PS01,155,1867.46988,1,0,0,310,0,1688.486046,0,155
1,29,6,JOCA_PS02,155,1867.46988,1,0,0,310,0,1688.486046,0,155
1,29,7,JOCA_PS03,155,1867.46988,1,0,0,310,0,1688.486046,0,155
1,29,8,JOCA_PS04,155,1867.46988,1,0,0,135.6787918,0,1805.98388,0,53.246876
1,30,1,BADC_PS01,250,3012.048193,1,0,0,250,0,3012.048193,0,0
1,30,2,BADC_PS02,250,3012.048193,1,0,0,250,0,2939.86459,0,0
1,30,3,BADC_PS03,250,3012.048193,1,0,0,250,0,2948.476504,0,0
1,30,4,BADC_PS04,250,3012.048193,1,0,0,250,0,3012.048193,0,0
1,30,5,JOCA_PS01,155,1867.46988,1,0,0,155,0,1822.716046,0,0
