Day,Time period,Source,Sink,Flow,TransCap
1,18,1,1,0,0
1,18,1,2,-1869.088049,5000
1,18,2,1,1869.088049,5000
1,18,2,2,0,0
1,19,1,1,0,0
1,19,1,2,-1790,5000
1,19,2,1,1790,5000
1,19,2,2,0,0
1,20,1,1,0,0
1,20,1,2,-1630,5000
1,20,2,1,1630,5000
1,20,2,2,0,0
1,21,1,1,0,0
1,21,1,2,-1522,5000
1,21,2,1,1522,5000
1,21,2,2,0,0
1,22,1,1,0,0
1,22,1,2,-1751,5000
1,22,2,1,1751,5000
1,22,2,2,0,0
1,23,1,1,0,0
1,23,1,2,-2008,5000
1,23,2,1,2008,5000
1,23,2,2,0,0
1,24,1,1,0,0
1,24,1,2,-1969,5000
1,24,2,1,1969,5000
1,24,2,2,0,0
1,25,1,1,0,0
1,25,1,2,-2197,5000
1,25,2,1,2197,5000
1,25,2,2,0,0
1,26,1,1,0,0
1,26,1,2,-2327,5000
1,26,2,1,2327,5000
1,26,2,2,0,0
1,27,1,1,0,0
1,27,1,2,-2285,5000
1,27,2,1,2285,5000
1,27,2,2,0,0
1,28,1,1,0,0
1,28,1,2,-2326,5000
1,28,2,1,2326,5000
1,28,2,2,0,0
1,29,1,1,0,0
1,29,1,2,-2042,5000
1,29,2,1,2042,5000
1,29,2,2,0,0
1,30,1,1,0,0
1,30,1,2,-1549,5000
1,30,2,1,1549,5000
1,30,2,2,0,0
1,31,1,1,0,0
1,31,1,2,-1068,5000
1,31,2,1,1068,5000
1,31,2,2,0,0
1,32,1,1,0,0
1,32,1,2,-677,5000
1,32,2,1,677,5000
1,32,2,2,0,0
1,33,1,1,0,0
1,33,1,2,-650,5000
1,33,2,1,650,5000
1,33,2,2,0,0
1,34,1,1,0,0
1,34,1,2,-701,5000
1,34,2,1,701,5000
1,34,2,2,0,0
1,35,1,1,0,0
1,35,1,2,-916,5000
1,35,2,1,916,5000
1,35,2,2,0,0
1,36,1,1,0,0
1,36,1,2,-977,5000
1,36,2,1,977,5000
1,36,2,2,0,0
1,37,1,1,0,0
1,37,1,2,-1138,5000
1,37,2,1,1138,5000
1,37,2,2,0,0
1,38,1,1,0,0
1,38,1,2,-1310,5000
1,38,2,1,1310,5000
1,38,2,2,0,0
1,39,1,1,0,0
1,39,1,2,-1496,5000
1,39,2,1,1496,5000
1,39,2,2,0,0
1,40,1,1,0,0
1,40,1,2,-1770,5000
1,40,2,1,1770,5000
1,40,2,2,0,0
1,41,1,1,0,0
1,41,1,2,-1508,5000
1,41,2,1,1508,5000
1,41,2,2,0,0
1,42,1,1,0,0
1,42,1,2,-1499,5000
1,42,2,1,1499,5000
1,42,2,2,0,0
1,43,1,1,0,0
1,43,1,2,-1179,5000
1,43,2,1,1179,5000
1,43,2,2,0,0
1,44,1,1,0,0
1,44,1,2,-1042,5000
1,44,2,1,1042,5000
1,44,2,2,0,0
1,45,1,1,0,0
1,45,1,2,-1032,5000
1,45,2,1,1032,5000
1,45,2,2,0,0
1,46,1,1,0,0
1,46,1,2,-1185,5000
1,46,2,1,1185,5000
1,46,2,2,0,0
1,47,1,1,0,0
1,47,1,2,-1354,5000
1,47,2,1,1354,5000
1,47,2,2,0,0
1,48,1,1,0,0
1,48,1,2,-1566,5000
1,48,2,1,1566,5000
1,48,2,2,0,0
1,49,1,1,0,0
1,49,1,2,-1826,5000
1,49,2,1,1826,5000
1,49,2,2,0,0
1,50,1,1,0,0
1,50,1,2,-1987,5000
1,50,2,1,1987,5000
1,50,2,2,0,0
1,51,1,1,0,0
1,51,1,2,-1983,5000
1,51,2,1,1983,5000
1,51,2,2,0,0
1,52,1,1,0,0
1,52,1,2,-1926,5000
1,52,2,1,1926,5000
1,52,2,2,0,0
1,53,1,1,0,0
1,53,1,2,-1747,5000
1,53,2,1,1747,5000
1,53,2,2,0,0
1,54,1,1,0,0
1,54,1,2,-1218,5000
1,54,2,1,1218,5000
1,54,2,2,0,0
1,55,1,1,0,0
1,55,1,2,-1320,5000
1,55,2,1,1320,5000
1,55,2,2,0,0
1,56,1,1,0,0
1,56,1,2,-1007,5000
1,56,2,1,1007,5000
1,56,2,2,0,0
1,57,1,1,0,0
1,57,1,2,-1162,5000
1,57,2,1,1162,5000
1,57,2,2,0,0
1,58,1,1,0,0
1,58,1,2,-1098,5000
1,58,2,1,1098,5000
1,58,2,2,0,0
1,59,1,1,0,0
1,59,1,2,-1181,5000
1,59,2,1,1181,5000
1,59,2,2,0,0
1,60,1,1,0,0
1,60,1,2,-1262,5000
1,60,2,1,1262,5000
1,60,2,2,0,0
1,61,1,1,0,0
1,61,1,2,-1379,5000
1,61,2,1,1379,5000
1,61,2,2,0,0
1,62,1,1,0,0
1,62,1,2,-1508,5000
1,62,2,1,1508,5000
