Day,Time period,Source,Sink,Flow,TransCap
1.0,17.0,1.0,1.0,0.0,0.0
1.0,17.0,1.0,2.0,-1066.9,5000.0
1.0,17.0,2.0,1.0,1066.9,5000.0
1.0,17.0,2.0,2.0,0.0,0.0
2.0,7.0,1.0,1.0,0.0,0.0
2.0,7.0,1.0,2.0,-1016.0,5000.0
2.0,7.0,2.0,1.0,1016.0,5000.0
2.0,7.0,2.0,2.0,0.0,0.0
2.0,8.0,1.0,1.0,0.0,0.0
2.0,8.0,1.0,2.0,-1502.0,5000.0
2.0,8.0,2.0,1.0,1502.0,5000.0
2.0,8.0,2.0,2.0,0.0,0.0
2.0,9.0,1.0,1.0,0.0,0.0
2.0,9.0,1.0,2.0,-1780.0,5000.0
2.0,9.0,2.0,1.0,1780.0,5000.0
2.0,9.0,2.0,2.0,0.0,0.0
2.0,10.0,1.0,1.0,0.0,0.0
2.0,10.0,1.0,2.0,-1684.0,5000.0
2.0,10.0,2.0,1.0,1684.0,5000.0
2.0,10.0,2.0,2.0,0.0,0.0
2.0,11.0,1.0,1.0,0.0,0.0
2.0,11.0,1.0,2.0,-1693.0,5000.0
2.0,11.0,2.0,1.0,1693.0,5000.0
2.0,11.0,2.0,2.0,0.0,0.0
2.0,12.0,1.0,1.0,0.0,0.0
2.0,12.0,1.0,2.0,-1767.0,5000.0
2.0,12.0,2.0,1.0,1767.0,5000.0
2.0,12.0,2.0,2.0,0.0,0.0
2.0,13.0,1.0,1.0,0.0,0.0
2.0,13.0,1.0,2.0,-1704.0,5000.0
2.0,13.0,2.0,1.0,1704.0,5000.0
2.0,13.0,2.0,2.0,0.0,0.0
2.0,14.0,1.0,1.0,0.0,0.0
2.0,14.0,1.0,2.0,-1679.0,5000.0
2.0,14.0,2.0,1.0,1679.0,5000.0
2.0,14.0,2.0,2.0,0.0,0.0
2.0,15.0,1.0,1.0,0.0,0.0
2.0,15.0,1.0,2.0,-1694.0,5000.0
2.0,15.0,2.0,1.0,1694.0,5000.0
2.0,15.0,2.0,2.0,0.0,0.0
2.0,16.0,1.0,1.0,0.0,0.0
2.0,16.0,1.0,2.0,-1749.0,5000.0
2.0,16.0,2.0,1.0,1749.0,5000.0
2.0,16.0,2.0,2.0,0.0,0.0
2.0,17.0,1.0,1.0,0.0,0.0
2.0,17.0,1.0,2.0,-1836.0000000000007,5000.0
2.0,17.0,2.0,1.0,1836.0000000000007,5000.0
2.0,17.0,2.0,2.0,0.0,0.0
