Day,Hour,GeneratorID,VariableCost,MinPowerOut,MaxPowerOut,Output,On/off,ShutDown,Startup
1,30,1,ALLE_UN01_0,85,167,0.0,0.0,0.0,0.0
1,30,2,ALLE_UN02_0,85,167,0.0,0.0,0.0,0.0
1,30,3,ALLE_UN03_0,140,270,0.0,0.0,0.0,0.0
1,30,4,ALLE_UN04_0,140,267,0.0,0.0,0.0,0.0
1,30,5,ALLE_UN05_0,140,259,0.0,0.0,0.0,0.0
1,30,6,ASHV_CT03_0,70,185,0.0,-0.0,0.0,-0.0
1,30,7,ASHV_CT03_1,70,185,0.0,-0.0,-0.0,-0.0
1,30,8,ASHV_CT04_0,70,185,0.0,-0.0,0.0,-0.0
1,30,9,ASHV_CT04_1,70,185,0.0,-0.0,-0.0,-0.0
1,30,10,BELE_UN01_0,300,1110,0.0,0.0,0.0,0.0
1,30,11,BELE_UN02_0,300,1110,0.0,0.0,0.0,0.0
1,30,12,BLEW_CT01_0,12,68,0.0,-0.0,0.0,-0.0
1,30,13,BRUN_UN01_0,975,975,975.0,1.0,0.0,0.0
1,30,14,BRUN_UN02_0,953,953,953.0,1.0,0.0,0.0
1,30,15,BRVR_CT01_0,100,178,0.0,-0.0,0.0,-0.0
1,30,16,BRVR_CT02_0,100,178,0.0,-0.0,0.0,-0.0
1,30,17,BRVR_CT03_0,100,178,0.0,-0.0,0.0,-0.0
1,30,18,BRVR_CT04_0,100,178,0.0,-0.0,0.0,-0.0
1,30,19,BRVR_CT05_0,100,178,0.0,-0.0,0.0,-0.0
1,30,20,BUCK_CC01_1,150,358,250.0,1.0,0.0,0.0
1,30,21,BUCK_CC01_2,105,358,345.0,1.0,0.0,-0.0
1,30,22,CATA_UN01_0,1199,1199,1199.0,1.0,0.0,0.0
1,30,23,CATA_UN02_0,1180,1180,1180.0,1.0,0.0,0.0
1,30,24,CHER_CG01_0,86,86,0.0,0.0,0.0,0.0
1,30,25,CLEM_CT01_0,17,17,0.0,-0.0,-0.0,-0.0
