Day,Time period,Source,Sink,Flow,TransCap
1.0,19.0,1.0,1.0,0.0,0.0
1.0,19.0,1.0,2.0,-305.0,5000.0
1.0,19.0,2.0,1.0,305.0,5000.0
1.0,19.0,2.0,2.0,0.0,0.0
2.0,7.0,1.0,1.0,0.0,0.0
2.0,7.0,1.0,2.0,-2353.0,5000.0
2.0,7.0,2.0,1.0,2353.0,5000.0
2.0,7.0,2.0,2.0,0.0,0.0
2.0,8.0,1.0,1.0,0.0,0.0
2.0,8.0,1.0,2.0,-2260.0,5000.0
2.0,8.0,2.0,1.0,2260.0,5000.0
2.0,8.0,2.0,2.0,0.0,0.0
2.0,9.0,1.0,1.0,0.0,0.0
2.0,9.0,1.0,2.0,-2131.0,5000.0
2.0,9.0,2.0,1.0,2131.0,5000.0
2.0,9.0,2.0,2.0,0.0,0.0
2.0,10.0,1.0,1.0,0.0,0.0
2.0,10.0,1.0,2.0,-1993.0,5000.0
2.0,10.0,2.0,1.0,1993.0,5000.0
2.0,10.0,2.0,2.0,0.0,0.0
2.0,11.0,1.0,1.0,0.0,0.0
2.0,11.0,1.0,2.0,-1808.0,5000.0
2.0,11.0,2.0,1.0,1808.0,5000.0
2.0,11.0,2.0,2.0,0.0,0.0
2.0,12.0,1.0,1.0,0.0,0.0
2.0,12.0,1.0,2.0,-1230.0,5000.0
2.0,12.0,2.0,1.0,1230.0,5000.0
2.0,12.0,2.0,2.0,0.0,0.0
2.0,13.0,1.0,1.0,0.0,0.0
2.0,13.0,1.0,2.0,-636.0,5000.0
2.0,13.0,2.0,1.0,636.0,5000.0
2.0,13.0,2.0,2.0,0.0,0.0
2.0,14.0,1.0,1.0,0.0,0.0
2.0,14.0,1.0,2.0,-560.0,5000.0
2.0,14.0,2.0,1.0,560.0,5000.0
2.0,14.0,2.0,2.0,0.0,0.0
2.0,15.0,1.0,1.0,0.0,0.0
2.0,15.0,1.0,2.0,-530.0,5000.0
2.0,15.0,2.0,1.0,530.0,5000.0
2.0,15.0,2.0,2.0,0.0,0.0
2.0,16.0,1.0,1.0,0.0,0.0
2.0,16.0,1.0,2.0,-591.0000000000002,5000.0
2.0,16.0,2.0,1.0,591.0000000000002,5000.0
2.0,16.0,2.0,2.0,0.0,0.0
2.0,17.0,1.0,1.0,0.0,0.0
2.0,17.0,1.0,2.0,-534.0,5000.0
2.0,17.0,2.0,1.0,534.0,5000.0
2.0,17.0,2.0,2.0,0.0,0.0
2.0,18.0,1.0,1.0,0.0,0.0
2.0,18.0,1.0,2.0,-504.0,5000.0
2.0,18.0,2.0,1.0,504.0,5000.0
2.0,18.0,2.0,2.0,0.0,0.0
2.0,19.0,1.0,1.0,0.0,0.0
2.0,19.0,1.0,2.0,-842.0,5000.0
2.0,19.0,2.0,1.0,842.0,5000.0
2.0,19.0,2.0,2.0,0.0,0.0
