Day,Time period,Source,Sink,Flow,TransCap
1.0,7.0,1.0,1.0,0.0,0.0
1.0,7.0,1.0,2.0,-446.0,5000.0
1.0,7.0,2.0,1.0,446.0,5000.0
1.0,7.0,2.0,2.0,0.0,0.0
1.0,8.0,1.0,1.0,0.0,0.0
1.0,8.0,1.0,2.0,-555.0,5000.0
1.0,8.0,2.0,1.0,555.0,5000.0
1.0,8.0,2.0,2.0,0.0,0.0
1.0,9.0,1.0,1.0,0.0,0.0
1.0,9.0,1.0,2.0,-482.0,5000.0
1.0,9.0,2.0,1.0,482.0,5000.0
1.0,9.0,2.0,2.0,0.0,0.0
1.0,10.0,1.0,1.0,0.0,0.0
1.0,10.0,1.0,2.0,-531.0000000000001,5000.0
1.0,10.0,2.0,1.0,531.0000000000001,5000.0
1.0,10.0,2.0,2.0,0.0,0.0
1.0,11.0,1.0,1.0,0.0,0.0
1.0,11.0,1.0,2.0,-877.0,5000.0
1.0,11.0,2.0,1.0,877.0,5000.0
1.0,11.0,2.0,2.0,0.0,0.0
1.0,12.0,1.0,1.0,0.0,0.0
1.0,12.0,1.0,2.0,-871.0000000000001,5000.0
1.0,12.0,2.0,1.0,871.0000000000001,5000.0
1.0,12.0,2.0,2.0,0.0,0.0
1.0,13.0,1.0,1.0,0.0,0.0
1.0,13.0,1.0,2.0,-909.0,5000.0
1.0,13.0,2.0,1.0,909.0,5000.0
1.0,13.0,2.0,2.0,0.0,0.0
1.0,14.0,1.0,1.0,0.0,0.0
1.0,14.0,1.0,2.0,-1000.0,5000.0
1.0,14.0,2.0,1.0,1000.0,5000.0
1.0,14.0,2.0,2.0,0.0,0.0
1.0,15.0,1.0,1.0,0.0,0.0
1.0,15.0,1.0,2.0,-1096.0,5000.0
1.0,15.0,2.0,1.0,1096.0,5000.0
1.0,15.0,2.0,2.0,0.0,0.0
1.0,16.0,1.0,1.0,0.0,0.0
1.0,16.0,1.0,2.0,-1360.0,5000.0
1.0,16.0,2.0,1.0,1360.0,5000.0
1.0,16.0,2.0,2.0,0.0,0.0
1.0,17.0,1.0,1.0,0.0,0.0
1.0,17.0,1.0,2.0,-1599.0,5000.0
1.0,17.0,2.0,1.0,1599.0,5000.0
1.0,17.0,2.0,2.0,0.0,0.0
1.0,18.0,1.0,1.0,0.0,0.0
1.0,18.0,1.0,2.0,-1554.0,5000.0
1.0,18.0,2.0,1.0,1554.0,5000.0
1.0,18.0,2.0,2.0,0.0,0.0
1.0,19.0,1.0,1.0,0.0,0.0
1.0,19.0,1.0,2.0,-1450.1,5000.0
