Day,Time period,Source,Sink,Flow,TransCap
1.0,18.0,1.0,1.0,0.0,0.0
1.0,18.0,1.0,2.0,-1869.088049053279,5000.0
1.0,18.0,2.0,1.0,1869.088049053279,5000.0
1.0,18.0,2.0,2.0,0.0,0.0
1.0,19.0,1.0,1.0,0.0,0.0
1.0,19.0,1.0,2.0,-1790.0,5000.0
1.0,19.0,2.0,1.0,1790.0,5000.0
1.0,19.0,2.0,2.0,0.0,0.0
1.0,20.0,1.0,1.0,0.0,0.0
1.0,20.0,1.0,2.0,-1630.0,5000.0
1.0,20.0,2.0,1.0,1630.0,5000.0
1.0,20.0,2.0,2.0,0.0,0.0
1.0,21.0,1.0,1.0,0.0,0.0
1.0,21.0,1.0,2.0,-1522.0,5000.0
1.0,21.0,2.0,1.0,1522.0,5000.0
1.0,21.0,2.0,2.0,0.0,0.0
1.0,22.0,1.0,1.0,0.0,0.0
1.0,22.0,1.0,2.0,-1751.0000000000005,5000.0
1.0,22.0,2.0,1.0,1751.0000000000005,5000.0
1.0,22.0,2.0,2.0,0.0,0.0
1.0,23.0,1.0,1.0,0.0,0.0
1.0,23.0,1.0,2.0,-2008.0000000000005,5000.0
1.0,23.0,2.0,1.0,2008.0000000000005,5000.0
1.0,23.0,2.0,2.0,0.0,0.0
1.0,24.0,1.0,1.0,0.0,0.0
1.0,24.0,1.0,2.0,-1969.0000000000005,5000.0
1.0,24.0,2.0,1.0,1969.0000000000005,5000.0
1.0,24.0,2.0,2.0,0.0,0.0
1.0,25.0,1.0,1.0,0.0,0.0
1.0,25.0,1.0,2.0,-2197.0,5000.0
1.0,25.0,2.0,1.0,2197.0,5000.0
1.0,25.0,2.0,2.0,0.0,0.0
1.0,26.0,1.0,1.0,0.0,0.0
1.0,26.0,1.0,2.0,-2327.0,5000.0
1.0,26.0,2.0,1.0,2327.0,5000.0
1.0,26.0,2.0,2.0,0.0,0.0
1.0,27.0,1.0,1.0,0.0,0.0
1.0,27.0,1.0,2.0,-2285.0,5000.0
1.0,27.0,2.0,1.0,2285.0,5000.0
1.0,27.0,2.0,2.0,0.0,0.0
1.0,28.0,1.0,1.0,0.0,0.0
