Hour,Demand,Reserves
0,13850,0
1,13583,1012
2,13031,1131
3,12547,713
4,12240,697
5,12207,1013
6,12403,1157
7,12836,746
8,13168,1012
9,13672,768
10,14577,953
11,15309,1284
12,15689,1301
13,15805,1449
14,15730,848
15,15573,1229
16,15557,920
17,15792,910
18,17076,934
19,17441,1376
20,17103,882
21,16696,1498
22,16024,1077
23,15133,1110
24,14234,1219
25,13524,688
26,13196,935
27,13078,1246
28,13223,1255
29,13719,1221
30,14979,1322
31,16903,1494
32,18210,1582
33,18534,1672
34,18626,1681
35,18552,1564
36,18544,1230
37,18354,1767
38,18280,1697
39,18268,1469
40,18287,976
41,18691,1314
42,20066,1524
43,20509,1823
44,20261,1879
45,19741,1175
46,18814,1184
47,17611,895
48,16454,1285
49,15795,1264
50,15341,844
51,15150,1198
52,15180,1286
53,15488,1506
54,16634,1528
55,18452,937
56,19327,978
57,19343,1103
58,19325,1218
59,19274,1575
60,19076,1382
61,18809,1439
62,18644,1244
63,18335,1627
64,18365,922
65,18610,1818
66,19738,997
67,20336,1299
68,20114,1274
69,19626,1062
70,18713,1152
71,17407,1082
72,16378,1173
73,15597,1011
74,15124,945
75,14910,844
76,14912,915
77,15275,1520
78,16439,1526
79,18196,1162
80,19195,1635
81,19304,1492
82,19461,1895
83,19741,1713
84,19784,1644
85,19679,1967
86,19570,1647
87,19308,978
88,19266,1502
89,19423,1870
90,20056,1334
91,20053,1497
92,19551,1767
93,18971,1591
94,18218,1815
95,17341,1320
96,16457,840
97,15694,802
98,15361,1075
99,15284,935
100,15407,1209
101,15780,941
102,16488,1064
103,17456,1252
104,18365,1061
105,18952,1313
106,18827,1097
107,18321,1647
108,17828,1233
109,17165,1304
110,16588,1189
111,16123,991
112,16107,899
113,16523,1515
114,17766,1208
115,18758,1112
116,18743,1288
117,18652,1015
118,18309,1031
119,17705,1227
120,17117,1127
121,16535,828
122,16279,1350
123,16220,1105
124,16355,1331
125,16673,1508
126,17252,1164
127,18148,947
128,19137,1501
129,19671,1660
130,18789,1611
131,17604,1564
132,16676,881
133,16149,1546
134,15740,950
135,15485,1131
136,15469,1014
137,15886,1522
138,17187,1102
139,18353,1753
140,18405,1383
141,18395,1473
142,17764,1391
143,17029,1516
144,16206,1464
145,15597,1110
146,15361,1325
147,15376,977
148,15679,885
149,16443,899
150,18108,750
151,20791,50
152,21609,300
153,21312,2060
154,20748,1358
155,20182,1075
156,19472,1271
157,18703,976
158,18198,1387
159,17858,1266
160,17830,911
161,18333,1043
162,19951,1317
163,21163,1971
164,21164,1906
165,20681,1879
166,19733,1649
167,18514,1472
168,17345,1458
