Unit,eGRID2018SeqNumber,FixedCost,VariableCost,StartUpCost,ShutdownCost,MinPowerOut,MaxPowerOut,RampDownLimit,RampShutDownLimit,RampUpLimit,RampStartUpLimit,Uini,PowerIni
1,15730,334.65492,47.92048429,1484.07,15,17.19,57.3,57.3,57.3,57.3,57.3,0,0
2,15731,334.65492,47.92048429,1484.07,57,17.19,57.3,57.3,57.3,57.3,57.3,0,0
3,15732,334.65492,47.92048429,1484.07,34,17.19,57.3,57.3,57.3,57.3,57.3,0,0
4,15733,334.65492,47.92048429,1484.07,49,17.19,57.3,57.3,57.3,57.3,57.3,0,0
5,15734,334.65492,47.92048429,1484.07,69,17.19,57.3,57.3,57.3,57.3,57.3,0,0
6,15735,334.65492,47.92048429,1484.07,71,17.19,57.3,57.3,57.3,57.3,57.3,0,0
7,15748,105.1272,70.46139253,466.2,15,5.4,18,18,18,18,18,0,0
8,15749,102.207,70.46139253,453.25,15,5.25,17.5,17.5,17.5,17.5,17.5,0,0
9,15750,99.2868,70.46139253,440.3,22,5.1,17,17,17,17,17,0,0
10,15753,335.5184,26.43685651,37118.16462,1529,82.64,206.6,206.6,206.6,206.6,206.6,1,82.64
11,15754,336.168,26.43685651,37190.02941,387,82.8,207,207,207,207,207,1,82.8
12,15755,1236.41268,53.6713768,26977.62961,741,105.85,211.7,211.7,211.7,211.7,211.7,0,0
13,15756,1236.99672,53.6713768,26990.37294,709,105.9,211.8,211.8,211.8,211.8,211.8,0,0
14,15794,6588.72576,21.74802272,104392.3494,4659,498.24,1245.6,1245.6,1245.6,1245.6,1245.6,1,498.24
15,15795,6588.72576,21.74802272,104392.3494,3136,498.24,1245.6,1245.6,1245.6,1245.6,1245.6,1,498.24
16,15850,1256.77872,32.95609779,11347.98323,389,92.65,185.3,185.3,185.3,185.3,185.3,0,0
17,15851,1256.77872,32.95609779,11347.98323,331,92.65,185.3,185.3,185.3,185.3,185.3,0,0
18,15852,2219.87952,32.95609779,20044.2251,798,163.65,327.3,327.3,327.3,327.3,327.3,0,0
19,15865,195.33312,60.57667945,1841.977348,78,14.4,28.8,28.8,28.8,28.8,28.8,0,0
20,15866,195.33312,60.57667945,1841.977348,24,14.4,28.8,28.8,28.8,28.8,28.8,0,0
21,15867,195.33312,60.57667945,1841.977348,55,14.4,28.8,28.8,28.8,28.8,28.8,0,0
22,15868,168.20352,60.57667945,745.92,26,8.64,28.8,28.8,28.8,28.8,28.8,0,0
23,15869,168.20352,60.57667945,745.92,17,8.64,28.8,28.8,28.8,28.8,28.8,0,0
24,15870,195.33312,60.57667945,1841.977348,38,14.4,28.8,28.8,28.8,28.8,28.8,0,0
25,15871,195.33312,60.57667945,1841.977348,86,14.4,28.8,28.8,28.8,28.8,28.8,0,0
26,15872,195.33312,60.57667945,1841.977348,74,14.4,28.8,28.8,28.8,28.8,28.8,0,0
27,15873,495.1152,60.57667945,4668.900917,102,36.5,73,73,73,73,73,0,0
28,15883,12.18,13.15920394,1285.229821,22,2.475,7.5,7.5,7.5,7.5,7.5,1,2.475
29,15884,12.18,13.15920394,1285.229821,20,2.475,7.5,7.5,7.5,7.5,7.5,1,2.475
30,15885,12.18,13.15920394,1285.229821,20,2.475,7.5,7.5,7.5,7.5,7.5,1,2.475
31,15886,12.18,13.15920394,1285.229821,42,2.475,7.5,7.5,7.5,7.5,7.5,1,2.475
32,15887,16.24,13.15920394,1713.639761,59,3.3,10,10,10,10,10,1,3.3
33,15888,20.3,13.15920394,2142.049701,68,4.125,12.5,12.5,12.5,12.5,12.5,1,4.125
34,15941,1074.6336,48.43670016,23439.05395,614,92,184,184,184,184,184,0,0
35,15942,1074.6336,48.43670016,23439.05395,805,92,184,184,184,184,184,0,0
36,15943,1074.6336,48.43670016,23439.05395,1126,92,184,184,184,184,184,0,0
37,15944,1074.6336,48.43670016,23439.05395,972,92,184,184,184,184,184,0,0
38,15988,1256.77872,33.76539715,11362.73169,515,92.65,185.3,185.3,185.3,185.3,185.3,0,0
39,15989,1256.77872,33.76539715,11362.73169,249,92.65,185.3,185.3,185.3,185.3,185.3,0,0
40,15990,2219.87952,33.76539715,20070.27567,839,163.65,327.3,327.3,327.3,327.3,327.3,0,0
41,16022,23.3616,33.10058251,103.6,3,1.2,4,4,4,4,4,0,0
42,16106,265.0368,26.40066479,29317.14346,699,53.856,163.2,163.2,163.2,163.2,163.2,1,53.856
43,16107,265.0368,26.40066479,29317.14346,1401,53.856,163.2,163.2,163.2,163.2,163.2,1,53.856
44,16108,441.728,26.40066479,48861.90577,785,108.8,272,272,272,272,272,0,0
45,16109,451.472,26.40066479,49939.74193,1083,111.2,278,278,278,278,278,0,0
46,16110,441.728,26.40066479,48861.90577,961,108.8,272,272,272,272,272,1,108.8
47,16161,334.65492,47.69574338,1484.07,24,17.19,57.3,57.3,57.3,57.3,57.3,0,0
48,16162,334.65492,47.69574338,1484.07,40,17.19,57.3,57.3,57.3,57.3,57.3,0,0
49,16163,334.65492,47.69574338,1484.07,71,17.19,57.3,57.3,57.3,57.3,57.3,0,0
50,16164,334.65492,47.69574338,1484.07,16,17.19,57.3,57.3,57.3,57.3,57.3,0,0
51,16165,334.65492,47.69574338,1484.07,72,17.19,57.3,57.3,57.3,57.3,57.3,0,0
52,16166,334.65492,47.69574338,1484.07,66,17.19,57.3,57.3,57.3,57.3,57.3,0,0
53,16258,2175.4872,22.05447995,52140.07882,1740,248.4,621,621,621,621,621,1,248.4
54,16259,4810.8912,22.05447995,76362.96568,3240,363.8,909.5,909.5,909.5,909.5,909.5,1,363.8
55,16292,2103.90048,24.69552605,18744.99386,473,155.1,310.2,310.2,310.2,310.2,310.2,0,0
56,16293,1585.04688,24.69552605,14122.19557,470,116.85,233.7,233.7,233.7,233.7,233.7,0,0
57,16333,640.10784,63.0753648,13975.97072,532,54.8,109.6,109.6,109.6,109.6,109.6,0,0
58,16334,640.10784,63.0753648,13975.97072,475,54.8,109.6,109.6,109.6,109.6,109.6,0,0
59,16335,640.10784,63.0753648,13975.97072,159,54.8,109.6,109.6,109.6,109.6,109.6,0,0
60,16336,640.10784,63.0753648,13975.97072,683,54.8,109.6,109.6,109.6,109.6,109.6,0,0
61,16337,640.10784,63.0753648,13975.97072,234,54.8,109.6,109.6,109.6,109.6,109.6,0,0
62,16338,640.10784,63.0753648,13975.97072,461,54.8,109.6,109.6,109.6,109.6,109.6,0,0
63,16339,640.10784,63.0753648,13975.97072,472,54.8,109.6,109.6,109.6,109.6,109.6,0,0
64,16340,640.10784,63.0753648,13975.97072,579,54.8,109.6,109.6,109.6,109.6,109.6,0,0
65,16341,640.10784,63.0753648,13975.97072,203,54.8,109.6,109.6,109.6,109.6,109.6,0,0
66,16342,640.10784,63.0753648,13975.97072,163,54.8,109.6,109.6,109.6,109.6,109.6,0,0
67,16343,640.10784,63.0753648,13975.97072,562,54.8,109.6,109.6,109.6,109.6,109.6,0,0
68,16344,640.10784,63.0753648,13975.97072,684,54.8,109.6,109.6,109.6,109.6,109.6,0,0
69,16345,640.10784,63.0753648,13975.97072,204,54.8,109.6,109.6,109.6,109.6,109.6,0,0
70,16346,640.10784,63.0753648,13975.97072,146,54.8,109.6,109.6,109.6,109.6,109.6,0,0
71,16347,640.10784,63.0753648,13975.97072,237,54.8,109.6,109.6,109.6,109.6,109.6,0,0
72,16348,640.10784,63.0753648,13975.97072,195,54.8,109.6,109.6,109.6,109.6,109.6,0,0
