Hour,Demand,Reserves
0,13850,0
1,13583,1012
2,13031,1131
3,12547,713
4,12240,697
5,12207,1013
6,12403,1157
7,12836,746
8,13168,1012
9,13672,768
10,14577,953
11,15309,1284
12,15689,1301
13,15805,1449
14,15730,848
15,15573,1229
16,15557,920
17,15792,910
18,17076,934
19,17441,1376
20,17103,882
21,16696,1498
22,16024,1077
23,15133,1110
24,14234,1219
25,13524,688
26,13196,935
27,13078,1246
28,13223,1255
29,13719,1221
30,14979,1322
31,16903,1494
32,18210,1582
33,18534,1672
34,18626,1681
35,18552,1564
36,18544,1230
37,18354,1767
38,18280,1697
39,18268,1469
40,18287,976
41,18691,1314
42,20066,1524
43,20509,1823
44,20261,1879
45,19741,1175
46,18814,1184
47,17611,895
48,16454,1285
49,15795,1264
50,15341,844
51,15150,1198
52,15180,1286
53,15488,1506
54,16634,1528
55,18452,937
56,19327,978
57,19343,1103
58,19325,1218
59,19274,1575
60,19076,1382
61,18809,1439
62,18644,1244
63,18335,1627
64,18365,922
65,18610,1818
66,19738,997
67,20336,1299
68,20114,1274
69,19626,1062
70,18713,1152
71,17407,1082
72,16378,1173
73,15597,1011
74,15124,945
75,14910,844
76,14912,915
77,15275,1520
78,16439,1526
79,18196,1162
80,19195,1635
81,19304,1492
82,19461,1895
83,19741,1713
84,19784,1644
85,19679,1967
86,19570,1647
87,19308,978
88,19266,1502
89,19423,1870
90,20056,1334
91,20053,1497
92,19551,1767
93,18971,1591
94,18218,1815
95,17341,1320
96,16457,840
97,15694,802
98,15361,1075
99,15284,935
100,15407,1209
101,15780,941
102,16488,1064
103,17456,1252
104,18365,1061
105,18952,1313
106,18827,1097
107,18321,1647
108,17828,1233
109,17165,1304
110,16588,1189
111,16123,991
112,16107,899
113,16523,1515
114,17766,1208
115,18758,1112
116,18743,1288
117,18652,1015
118,18309,1031
119,17705,1227
120,17117,1127
121,16535,828
122,16279,1350
123,16220,1105
124,16355,1331
125,16673,1508
126,17252,1164
127,18148,947
128,19137,1501
129,19671,1660
130,18789,1611
131,17604,1564
132,16676,881
133,16149,1546
134,15740,950
135,15485,1131
136,15469,1014
137,15886,1522
138,17187,1102
139,18353,1753
140,18405,1383
141,18395,1473
142,17764,1391
143,17029,1516
144,16206,1464
145,15597,1110
146,15361,1325
147,15376,977
148,15679,885
149,16443,899
150,18108,750
151,20791,50
152,21609,300
153,21312,2060
154,20748,1358
155,20182,1075
156,19472,1271
157,18703,976
158,18198,1387
159,17858,1266
160,17830,911
161,18333,1043
162,19951,1317
163,21163,1971
164,21164,1906
165,20681,1879
166,19733,1649
167,18514,1472
168,17345,1458
169,16544,1114
170,16048,1237
171,15830,1455
172,15842,1443
173,16287,1528
174,17641,1736
175,19806,1341
176,20742,1582
177,20365,1076
178,19733,1100
179,18946,1314
180,18128,1336
181,17594,913
182,17363,1714
183,17041,1561
184,17078,1218
185,17362,1061
186,18474,1684
187,19458,1115
188,19334,1327
189,18914,1645
190,17994,1312
191,16823,1322
192,15667,1069
193,14989,1211
194,14741,1343
195,14799,759
196,15107,813
197,15861,1068
198,17560,950
199,20181,250
200,21419,700
201,21029,1246
202,20294,1208
203,19653,1898
204,19182,1001
205,18670,1618
206,18376,1716
207,18089,1262
208,18280,1568
209,18978,1537
210,20784,1500
211,22322,1700
212,22634,2176
213,22679,2115
214,22190,1680
215,21203,1943
216,20398,1021
217,19973,1309
218,19924,1799
219,20234,1604
220,20713,1749
221,21727,1896
222,23552,1353
223,26087,700
224,27084,200
225,26679,1787
226,25336,2452
227,24002,2083
228,22936,2192
229,21979,1565
230,21303,1465
231,20875,1846
232,20907,2048
233,21816,1379
234,23852,1000
235,25406,1200
236,25857,1722
237,25833,2091
238,25382,2178
239,24441,1610
240,23626,1425
241,23286,1199
242,23296,1417
243,23533,1512
244,23980,1837
245,24897,1611
246,26603,1608
247,29051,900
248,29876,1000
249,29263,1500
250,27126,1946
251,25161,2318
252,23338,1950
253,21909,1201
254,20876,1939
255,20052,1437
256,19873,1128
257,20524,1896
258,22248,1867
259,23838,1268
260,24255,2254
261,24310,1431
262,24242,1467
263,23487,1878
264,22596,1675
265,21808,1952
266,21340,1764
267,21045,1708
268,20871,1667
269,21004,1261
270,21402,2104
271,22158,2135
272,22957,2132
273,23720,1958
274,23982,1558
275,23873,1582
276,23492,1957
277,22975,2182
278,22572,1828
279,22279,1585
280,22386,1717
281,22768,1430
282,23711,2178
283,24052,2319
284,23847,1521
285,23544,1884
286,22946,2174
287,22230,1121
288,21497,1405
289,20955,1887
290,20689,1709
291,20571,1735
292,20576,1038
293,20637,1577
294,20949,1113
295,21452,1845
296,22166,1351
297,22893,1186
298,23319,2250
299,23221,1247
300,22968,1423
301,22795,1762
302,22495,2045
303,22229,1489
304,22242,2167
305,22662,1577
306,23790,1701
307,24454,2173
308,24256,1414
309,23922,2214
310,23130,1234
311,21988,1549
312,21022,1061
313,20486,1610
314,20277,1376
315,20313,1736
316,20570,1903
317,21167,1796
318,22858,1579
319,25176,1100
320,26198,1771
321,26106,1997
322,25634,1474
323,24839,2018
324,24095,2180
325,23072,1935
326,22511,1972
327,22051,1416
328,22031,2078
329,22514,1762
330,23822,2052
331,24891,1608
332,24829,1821
333,24598,1748
334,23763,1485
335,22528,2131
336,21420,2027
337,20781,2074
338,20539,1968
339,20533,1476
340,20624,1267
341,21284,1613
342,22765,1173
343,25090,980
344,25925,1682
345,25325,2366
346,24500,1913
347,23569,1374
348,22517,1403
349,21656,1147
350,20969,1500
351,20286,1120
352,20051,1141
353,20547,1697
354,22249,1495
355,23974,1005
356,24451,1554
357,24727,2374
358,24362,1772
359,23540,1384
360,22970,1277
361,22740,1491
362,22842,1802
363,23252,2183
364,23756,1402
365,24631,2220
366,26390,2200
367,29020,1500
368,29754,1700
369,28648,1579
370,26023,2108
371,23581,2500
372,21685,1843
373,20359,1884
374,19525,1503
375,18906,1603
376,18710,1185
377,19206,1715
378,20730,1075
379,22495,1283
380,22848,1215
381,23086,1762
382,22704,1632
383,21813,1320
384,21022,1523
385,20688,1809
386,20833,1486
387,21115,1708
388,21596,1372
389,22559,1466
390,24402,1300
391,26927,1000
392,27751,1403
393,27077,2474
394,25943,1797
395,24526,2219
396,22820,2200
397,21528,1760
398,21116,1700
399,20831,1658
400,20920,1575
401,21501,1715
402,22791,1244
403,23549,1473
404,23448,2129
405,23050,1527
406,22043,1403
407,20748,1039
408,19524,1348
409,18757,1375
410,18394,1427
411,18274,1141
412,18316,1058
413,18812,1365
414,20146,1158
415,22235,1203
416,23154,1344
417,22751,1720
418,22109,1616
419,21374,1522
420,20584,1258
421,19730,1540
422,19079,1511
423,18419,1783
424,18103,919
425,18365,1133
426,19517,1787
427,20612,1141
428,20629,1925
429,20523,1788
430,20136,1147
431,19382,1583
432,18480,1114
433,17765,1601
434,17324,1092
435,17085,1230
436,17020,910
437,17217,1656
438,17663,1417
439,18418,1006
440,19287,991
441,20031,1595
442,20436,1901
443,20505,1638
444,20252,2025
445,19929,1447
446,19474,1288
447,19091,1569
448,18885,1518
449,18902,1407
450,19554,1608
451,19769,1417
452,19296,1441
453,18776,1408
454,17993,1536
455,17038,1642
456,16055,1310
457,15182,1352
458,14605,1022
459,14251,1038
460,14064,1221
461,14221,1093
462,14671,1069
463,15477,1306
464,16610,1496
465,17811,945
466,18424,959
467,18494,1209
468,18231,1543
469,18084,1253
470,17962,1298
471,17869,1262
472,18145,999
473,19145,1785
474,21179,1639
475,23252,2234
476,23983,1819
477,24338,1389
478,24248,1643
479,24102,1810
480,23880,1939
481,23810,1697
